t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
270.019409,0.000038,0.0035,0.8317,0,,,,,
271.019653,0.000041,0.0038,0.8880,0,,,,,
272.019836,0.000038,0.0035,0.8193,0,,,,,
273.020050,0.000041,0.0038,0.8984,0,,,,,
274.020294,0.000038,0.0035,0.8327,0,,,,,
275.020508,0.000041,0.0038,0.8897,0,,,,,
276.019562,0.000039,0.0036,0.8546,0,,,,,
277.019775,0.000038,0.0035,0.8212,0,,,,,
278.019989,0.000041,0.0038,0.8971,0,,,,,
279.020233,0.000038,0.0035,0.8225,0,,,,,
280.020416,0.000042,0.0039,0.9140,0,,,,,
281.019501,0.000038,0.0035,0.8338,0,,,,,
282.019714,0.000041,0.0037,0.8840,0,,,,,
283.019897,0.000039,0.0036,0.8420,0,,,,,
284.020142,0.000039,0.0036,0.8416,0,,,,,
285.020355,0.000041,0.0037,0.8867,0,,,,,
286.019379,0.000037,0.0034,0.8014,0,,,,,
287.019623,0.000041,0.0038,0.8960,0,,,,,
288.019836,0.000038,0.0035,0.8244,0,,,,,
289.020050,0.000042,0.0039,0.9131,0,,,,,
290.020294,0.000038,0.0035,0.8190,0,,,,,
291.020477,0.000041,0.0038,0.8979,0,,,,,
292.019562,0.000039,0.0036,0.8415,0,,,,,
293.019775,0.000041,0.0038,0.8972,0,,,,,
294.019958,0.000038,0.0035,0.8305,0,,,,,
295.020203,0.000041,0.0037,0.8818,0,,,,,
296.020416,0.000039,0.0036,0.8464,0,,,,,
297.019470,0.000041,0.0037,0.8835,0,,,,,
298.019684,0.000040,0.0036,0.8619,0,,,,,
299.019897,0.000040,0.0036,0.8628,0,,,,,
300.020142,0.000039,0.0036,0.8496,0,,,,,
301.020355,0.000040,0.0036,0.8620,0,,,,,
302.019379,0.000039,0.0036,0.8556,0,,,,,
303.019623,0.000040,0.0037,0.8675,0,,,,,
304.019836,0.000041,0.0037,0.8846,0,,,,,
305.020050,0.000039,0.0036,0.8499,0,,,,,
306.020264,0.000040,0.0037,0.8777,0,,,,,
307.020477,0.000039,0.0036,0.8445,0,,,,,
308.019562,0.000041,0.0037,0.8814,0,,,,,
309.019745,0.000039,0.0035,0.8369,0,,,,,
310.019958,0.000040,0.0037,0.8740,0,,,,,
311.020203,0.000039,0.0036,0.8410,0,,,,,
312.020416,0.000040,0.0037,0.8741,0,,,,,
313.019470,0.000039,0.0036,0.8492,0,,,,,
314.019684,0.000041,0.0037,0.8846,0,,,,,
315.019897,0.000040,0.0037,0.8653,0,,,,,
316.020111,0.000040,0.0037,0.8646,0,,,,,
317.020325,0.000041,0.0037,0.8860,0,,,,,
318.019379,0.000039,0.0036,0.8469,0,,,,,
319.019592,0.000041,0.0038,0.8881,0,,,,,
320.019806,0.000038,0.0035,0.8182,0,,,,,
321.020020,0.000042,0.0038,0.9029,0,,,,,
322.020264,0.000038,0.0035,0.8280,0,,,,,
323.020477,0.000041,0.0038,0.8926,0,,,,,
324.019531,0.000038,0.0035,0.8229,0,,,,,
325.019745,0.000042,0.0039,0.9121,0,,,,,
326.019958,0.000038,0.0035,0.8229,0,,,,,
327.020203,0.000041,0.0038,0.8901,0,,,,,
328.020386,0.000037,0.0034,0.8127,0,,,,,
329.019470,0.000041,0.0038,0.8922,0,,,,,
330.019684,0.000038,0.0035,0.8205,0,,,,,
331.019867,0.000042,0.0038,0.9094,0,,,,,
332.020111,0.000037,0.0034,0.8132,0,,,,,
333.020325,0.000041,0.0038,0.8986,0,,,,,
334.020538,0.000037,0.0034,0.8106,0,,,,,
335.019592,0.000042,0.0038,0.9024,0,,,,,
336.019806,0.000037,0.0034,0.8110,0,,,,,
337.020020,0.000042,0.0039,0.9145,0,,,,,
338.020264,0.000038,0.0035,0.8220,0,,,,,
339.020447,0.000042,0.0038,0.9056,0,,,,,
340.019531,0.000039,0.0035,0.8400,0,,,,,
341.019745,0.000041,0.0037,0.8858,0,,,,,
342.019928,0.000039,0.0036,0.8501,0,,,,,
343.020172,0.000040,0.0037,0.8652,0,,,,,
344.020386,0.000040,0.0037,0.8771,0,,,,,
345.019409,0.000039,0.0036,0.8476,0,,,,,
346.019653,0.000041,0.0038,0.9009,0,,,,,
347.019867,0.000037,0.0034,0.8144,0,,,,,
348.020111,0.000042,0.0039,0.9128,0,,,,,
349.020325,0.000038,0.0035,0.8269,0,,,,,
350.020508,0.000040,0.0037,0.8701,0,,,,,
351.019592,0.000040,0.0037,0.8740,0,,,,,
352.019806,0.000038,0.0035,0.8203,0,,,,,
353.019989,0.000042,0.0039,0.9184,0,,,,,
354.020233,0.000038,0.0035,0.8231,0,,,,,
355.020447,0.000041,0.0038,0.8882,0,,,,,
356.019501,0.000039,0.0036,0.8544,0,,,,,
357.019714,0.000038,0.0035,0.8282,0,,,,,
358.019928,0.000042,0.0039,0.9140,0,,,,,
360.020386,0.000042,0.0038,0.9110,0,,,,,
361.019409,0.000039,0.0036,0.8446,0,,,,,
362.019653,0.000041,0.0037,0.8831,0,,,,,
363.019867,0.000040,0.0037,0.8717,0,,,,,
364.020111,0.000039,0.0036,0.8414,0,,,,,
365.020294,0.000041,0.0038,0.8940,0,,,,,
366.020508,0.000038,0.0035,0.8173,0,,,,,
367.019592,0.000042,0.0039,0.9150,0,,,,,
368.019775,0.000038,0.0035,0.8253,0,,,,,
369.019989,0.000041,0.0037,0.8862,0,,,,,
370.020233,0.000038,0.0035,0.8325,0,,,,,
371.020447,0.000040,0.0037,0.8691,0,,,,,
372.019501,0.000040,0.0037,0.8670,0,,,,,
373.019714,0.000039,0.0036,0.8522,0,,,,,
374.019928,0.000041,0.0038,0.8884,0,,,,,
375.020172,0.000038,0.0035,0.8358,0,,,,,
376.020355,0.000043,0.0039,0.9271,0,,,,,
377.019409,0.000038,0.0035,0.8302,0,,,,,
378.019653,0.000041,0.0038,0.8998,0,,,,,
379.019836,0.000038,0.0034,0.8148,0,,,,,
380.020050,0.000042,0.0039,0.9119,0,,,,,
381.020294,0.000040,0.0036,0.8585,0,,,,,
382.020508,0.000040,0.0037,0.8734,0,,,,,
383.019562,0.000040,0.0036,0.8582,0,,,,,
384.019775,0.000039,0.0036,0.8446,0,,,,,
385.019989,0.000041,0.0038,0.8929,0,,,,,
386.020233,0.000037,0.0034,0.8083,0,,,,,
387.020416,0.000042,0.0038,0.9103,0,,,,,
388.019501,0.000038,0.0035,0.8239,0,,,,,
389.019714,0.000042,0.0038,0.9059,0,,,,,
390.019897,0.000040,0.0036,0.8615,0,,,,,
391.020142,0.000040,0.0037,0.8664,0,,,,,
392.020355,0.000041,0.0037,0.8834,0,,,,,
393.019379,0.000038,0.0034,0.8149,0,,,,,
394.019623,0.000041,0.0038,0.8998,0,,,,,
395.019836,0.000038,0.0035,0.8231,0,,,,,
396.020050,0.000042,0.0039,0.9124,0,,,,,
397.020294,0.000038,0.0035,0.8231,0,,,,,
398.020477,0.000041,0.0038,0.8929,0,,,,,
399.019562,0.000038,0.0035,0.8346,0,,,,,
400.019775,0.000040,0.0037,0.8755,0,,,,,
401.019958,0.000040,0.0036,0.8592,0,,,,,
402.020203,0.000039,0.0036,0.8567,0,,,,,
403.020416,0.000041,0.0038,0.8969,0,,,,,
404.019470,0.000038,0.0035,0.8344,0,,,,,
405.019684,0.000042,0.0038,0.9073,0,,,,,
406.019897,0.000038,0.0035,0.8256,0,,,,,
407.020142,0.000042,0.0038,0.9102,0,,,,,
408.020355,0.000037,0.0034,0.8101,0,,,,,
409.019379,0.000041,0.0038,0.9009,0,,,,,
410.019623,0.000038,0.0035,0.8182,0,,,,,
411.019836,0.000041,0.0038,0.8893,0,,,,,
412.020050,0.000038,0.0035,0.8335,0,,,,,
413.020264,0.000041,0.0038,0.9003,0,,,,,
414.020477,0.000038,0.0035,0.8256,0,,,,,
415.019562,0.000040,0.0037,0.8751,0,,,,,
416.019745,0.000038,0.0035,0.8317,0,,,,,
417.019958,0.000040,0.0037,0.8641,0,,,,,
418.020203,0.000040,0.0037,0.8678,0,,,,,
419.020416,0.000040,0.0037,0.8702,0,,,,,
420.019470,0.000040,0.0036,0.8587,0,,,,,
421.019684,0.000040,0.0036,0.8633,0,,,,,
422.019897,0.000041,0.0038,0.8904,0,,,,,
423.020111,0.000039,0.0036,0.8488,0,,,,,
424.020325,0.000041,0.0038,0.8977,0,,,,,
425.019379,0.000038,0.0035,0.8189,0,,,,,
426.019592,0.000042,0.0039,0.9199,0,,,,,
427.019806,0.000038,0.0035,0.8313,0,,,,,
428.020020,0.000042,0.0038,0.9090,0,,,,,
429.020264,0.000038,0.0035,0.8201,0,,,,,
430.020477,0.000041,0.0038,0.8918,0,,,,,
431.019531,0.000039,0.0035,0.8384,0,,,,,
432.019745,0.000041,0.0037,0.8827,0,,,,,
433.019958,0.000040,0.0036,0.8622,0,,,,,
434.020203,0.000039,0.0036,0.8511,0,,,,,
435.020386,0.000041,0.0037,0.8842,0,,,,,
436.019470,0.000038,0.0035,0.8322,0,,,,,
437.019684,0.000042,0.0039,0.9147,0,,,,,
438.019867,0.000037,0.0034,0.8113,0,,,,,
439.020111,0.000042,0.0039,0.9118,0,,,,,
440.020325,0.000038,0.0034,0.8150,0,,,,,
441.020538,0.000041,0.0038,0.8960,0,,,,,
442.019592,0.000038,0.0035,0.8257,0,,,,,
443.019806,0.000041,0.0038,0.8936,0,,,,,
444.020020,0.000039,0.0036,0.8467,0,,,,,
445.020264,0.000041,0.0037,0.8822,0,,,,,
446.020447,0.000040,0.0037,0.8722,0,,,,,
447.019531,0.000039,0.0036,0.8487,0,,,,,
448.019745,0.000042,0.0038,0.9023,0,,,,,
449.019928,0.000038,0.0035,0.8312,0,,,,,
450.020172,0.000042,0.0038,0.9032,0,,,,,
451.020386,0.000038,0.0035,0.8261,0,,,,,
452.019409,0.000042,0.0038,0.9075,0,,,,,
453.019653,0.000038,0.0035,0.8320,0,,,,,
454.019867,0.000041,0.0038,0.8958,0,,,,,
455.020111,0.004233,0.3883,91.9386,0,,,,,
456.020325,0.010129,0.9293,220.0095,0,,,,,
457.020508,0.019428,1.7825,422.0004,0,,,,,
458.019592,0.017719,1.6256,384.8675,0,,,,,
459.019806,0.008028,0.7365,174.3692,0,,,,,
460.019989,0.006958,0.6383,151.1236,0,,,,,
