t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
181.019836,0.036660,3.3634,796.2809,0,,,,,
182.020065,0.036043,3.3067,782.8698,0,,,,,
183.020279,0.036551,3.3534,793.9212,0,,,,,
184.020493,0.036457,3.3447,791.8650,0,,,,,
185.019547,0.036355,3.3354,789.6570,0,,,,,
186.019775,0.036815,3.3776,799.6490,0,,,,,
187.019989,0.037314,3.4233,810.4772,0,,,,,
188.020203,0.036571,3.3552,794.3453,0,,,,,
189.020416,0.037478,3.4385,814.0552,0,,,,,
190.019470,0.036921,3.3873,801.9474,0,,,,,
191.019699,0.036513,3.3499,793.0919,0,,,,,
192.019897,0.037397,3.4310,812.2856,0,,,,,
193.020126,0.037114,3.4051,806.1480,0,,,,,
194.020355,0.036450,3.3441,791.7106,0,,,,,
195.019394,0.037269,3.4193,809.5084,0,,,,,
196.019623,0.037146,3.4080,806.8446,0,,,,,
197.019836,0.036450,3.3441,791.7227,0,,,,,
198.020050,0.037374,3.4289,811.7941,0,,,,,
199.020279,0.036383,3.3379,790.2571,0,,,,,
200.020477,0.037132,3.4067,806.5344,0,,,,,
201.019531,0.036567,3.3548,794.2532,0,,,,,
202.019760,0.037036,3.3979,804.4573,0,,,,,
203.019974,0.036520,3.3505,793.2344,0,,,,,
204.020187,0.037243,3.4169,808.9465,0,,,,,
205.020416,0.036457,3.3448,791.8777,0,,,,,
206.019455,0.037304,3.4225,810.2698,0,,,,,
207.019684,0.036356,3.3355,789.6794,0,,,,,
208.019897,0.037330,3.4248,810.8330,0,,,,,
209.020111,0.036371,3.3369,790.0042,0,,,,,
210.020340,0.037290,3.4212,809.9719,0,,,,,
211.019394,0.036412,3.3406,790.8921,0,,,,,
212.019608,0.037317,3.4236,810.5450,0,,,,,
213.019821,0.036326,3.3327,789.0200,0,,,,,
214.020050,0.037330,3.4249,810.8440,0,,,,,
215.020248,0.036333,3.3334,789.1854,0,,,,,
216.020477,0.037176,3.4107,807.4826,0,,,,,
217.019531,0.036623,3.3600,795.4721,0,,,,,
218.019745,0.036702,3.3672,797.1902,0,,,,,
219.019974,0.037077,3.4016,805.3385,0,,,,,
220.020172,0.036247,3.3255,787.3010,0,,,,,
221.020401,0.037240,3.4166,808.8719,0,,,,,
222.019455,0.036362,3.3360,789.8069,0,,,,,
223.019669,0.036882,3.3838,801.1058,0,,,,,
224.019882,0.036763,3.3728,798.5176,0,,,,,
225.020096,0.036443,3.3435,791.5773,0,,,,,
226.020325,0.037182,3.4113,807.6154,0,,,,,
227.019379,0.036181,3.3195,785.8877,0,,,,,
228.019608,0.037224,3.4151,808.5272,0,,,,,
229.019806,0.036215,3.3226,786.6158,0,,,,,
230.020035,0.037110,3.4047,806.0591,0,,,,,
231.020233,0.036360,3.3358,789.7562,0,,,,,
232.020462,0.036939,3.3890,802.3458,0,,,,,
233.019516,0.036502,3.3489,792.8443,0,,,,,
234.019730,0.036844,3.3802,800.2703,0,,,,,
235.019958,0.036627,3.3604,795.5710,0,,,,,
236.020172,0.036702,3.3672,797.1943,0,,,,,
237.020386,0.036733,3.3701,797.8609,0,,,,,
238.019440,0.036543,3.3527,793.7503,0,,,,,
239.019669,0.036819,3.3779,799.7285,0,,,,,
240.019867,0.036378,3.3375,790.1610,0,,,,,
241.020096,0.036937,3.3888,802.2998,0,,,,,
242.020309,0.036208,3.3220,786.4742,0,,,,,
