point,turns,load,sample_index,vrms_v,included_in_mean,note
10turn_disturbed_2,10,soldering_iron,9,0.026563,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,10,0.027166,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,11,0.028676,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,12,0.029928,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,13,0.030136,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,14,0.029669,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,15,0.028544,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,16,0.027300,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,17,0.026586,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,18,0.027114,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,19,0.028675,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,20,0.029954,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,21,0.030073,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,22,0.029293,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,23,0.027770,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,24,0.026681,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,25,0.027037,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,26,0.028578,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,27,0.029965,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,28,0.030145,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,29,0.029585,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,30,0.028268,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,31,0.026965,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,32,0.026634,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,33,0.027533,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,34,0.029074,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,35,0.030047,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,36,0.030167,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,37,0.029823,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,38,0.028911,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,39,0.027733,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,40,0.026761,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,41,0.026671,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,42,0.027652,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,43,0.029097,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,44,0.030058,False,still oscillating despite resistor left untouched; discarded
10turn_disturbed_2,10,soldering_iron,45,0.030179,False,still oscillating despite resistor left untouched; discarded
10turn_confirmed,10,soldering_iron,1,0.028563,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,2,0.028604,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,3,0.028562,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,4,0.028545,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,5,0.028597,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,6,0.028557,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,7,0.028607,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,8,0.028565,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,9,0.028581,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,10,0.028615,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,11,0.028592,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,12,0.028582,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,13,0.028637,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,14,0.028657,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
