t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
164.019714,0.000016,0.0014,0.3400,0,,,,,
165.019547,0.000016,0.0015,0.3507,0,,,,,
166.020538,0.000016,0.0014,0.3429,0,,,,,
167.020386,0.000016,0.0014,0.3414,0,,,,,
168.020203,0.000016,0.0015,0.3456,0,,,,,
169.020050,0.000016,0.0015,0.3487,0,,,,,
170.019867,0.000016,0.0015,0.3461,0,,,,,
171.019714,0.000016,0.0015,0.3454,0,,,,,
172.019547,0.000016,0.0015,0.3542,0,,,,,
173.020538,0.000017,0.0015,0.3658,0,,,,,
174.020386,0.000016,0.0015,0.3569,0,,,,,
175.020218,0.000016,0.0015,0.3493,0,,,,,
176.020050,0.000016,0.0014,0.3395,0,,,,,
177.019867,0.000015,0.0014,0.3355,0,,,,,
178.019714,0.000016,0.0015,0.3486,0,,,,,
179.019547,0.000016,0.0015,0.3471,0,,,,,
180.020538,0.000016,0.0015,0.3504,0,,,,,
181.020386,0.000016,0.0015,0.3444,0,,,,,
182.020203,0.000016,0.0015,0.3483,0,,,,,
183.020050,0.000016,0.0015,0.3449,0,,,,,
184.019867,0.000016,0.0014,0.3387,0,,,,,
185.019714,0.000017,0.0015,0.3666,0,,,,,
186.019547,0.000016,0.0014,0.3425,0,,,,,
187.020538,0.000016,0.0015,0.3482,0,,,,,
188.020386,0.000016,0.0015,0.3544,0,,,,,
189.020203,0.000016,0.0015,0.3470,0,,,,,
190.020050,0.000016,0.0015,0.3462,0,,,,,
191.019867,0.000016,0.0015,0.3564,0,,,,,
192.019714,0.000016,0.0015,0.3554,0,,,,,
193.019547,0.000016,0.0015,0.3452,0,,,,,
194.020538,0.000016,0.0015,0.3496,0,,,,,
195.020386,0.000016,0.0015,0.3450,0,,,,,
196.020218,0.000016,0.0015,0.3572,0,,,,,
197.020050,0.000017,0.0015,0.3614,0,,,,,
198.019867,0.000016,0.0014,0.3397,0,,,,,
199.019714,0.000017,0.0015,0.3592,0,,,,,
200.019547,0.000016,0.0014,0.3426,0,,,,,
201.020538,0.000016,0.0015,0.3448,0,,,,,
202.020386,0.000016,0.0014,0.3414,0,,,,,
203.020203,0.000016,0.0015,0.3522,0,,,,,
204.020050,0.000016,0.0015,0.3515,0,,,,,
205.019867,0.000016,0.0015,0.3464,0,,,,,
206.019714,0.000017,0.0015,0.3627,0,,,,,
207.019547,0.000016,0.0015,0.3551,0,,,,,
208.020538,0.000017,0.0015,0.3638,0,,,,,
209.020386,0.000016,0.0014,0.3417,0,,,,,
210.020218,0.000016,0.0015,0.3447,0,,,,,
211.020050,0.000016,0.0014,0.3407,0,,,,,
212.019867,0.000017,0.0015,0.3604,0,,,,,
213.019714,0.000016,0.0015,0.3556,0,,,,,
214.019547,0.000017,0.0016,0.3683,0,,,,,
215.020554,0.000016,0.0015,0.3581,0,,,,,
216.020386,0.000016,0.0015,0.3513,0,,,,,
217.020203,0.000017,0.0015,0.3658,0,,,,,
218.020050,0.000016,0.0015,0.3542,0,,,,,
219.019867,0.000016,0.0015,0.3453,0,,,,,
220.019714,0.000016,0.0015,0.3521,0,,,,,
221.019547,0.000016,0.0014,0.3426,0,,,,,
222.020538,0.000016,0.0015,0.3536,0,,,,,
223.020386,0.000017,0.0015,0.3614,0,,,,,
224.020203,0.000017,0.0015,0.3625,0,,,,,
225.020050,0.000016,0.0015,0.3461,0,,,,,
226.019867,0.000016,0.0015,0.3512,0,,,,,
227.019714,0.000017,0.0016,0.3708,0,,,,,
228.019547,0.000016,0.0015,0.3452,0,,,,,
229.020538,0.000016,0.0015,0.3501,0,,,,,
230.020386,0.000016,0.0015,0.3578,0,,,,,
231.020203,0.000016,0.0015,0.3547,0,,,,,
232.020050,0.000017,0.0015,0.3584,0,,,,,
233.019867,0.000016,0.0015,0.3447,0,,,,,
234.019714,0.000016,0.0015,0.3500,0,,,,,
235.019547,0.000016,0.0015,0.3434,0,,,,,
236.020538,0.000016,0.0015,0.3454,0,,,,,
237.020386,0.000016,0.0015,0.3455,0,,,,,
238.020203,0.000016,0.0015,0.3512,0,,,,,
239.020050,0.000016,0.0015,0.3521,0,,,,,
240.019867,0.000017,0.0016,0.3706,0,,,,,
241.019714,0.000016,0.0015,0.3493,0,,,,,
242.019547,0.000016,0.0015,0.3577,0,,,,,
243.020538,0.000017,0.0015,0.3668,0,,,,,
244.020386,0.000016,0.0015,0.3495,0,,,,,
245.020218,0.000016,0.0015,0.3509,0,,,,,
246.020050,0.000016,0.0015,0.3554,0,,,,,
247.019867,0.000017,0.0015,0.3623,0,,,,,
